Human Evaluation Form MOS Key
===============================

This file maps anonymized Translation A/B/C labels back to model names.
Do not share this file with annotators before scoring.

Item 001 | ar-hi | line 52 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 054 | ar-en | line 865 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 055 | ar-en | line 1035 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 056 | ar-en | line 1117 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 057 | ar-en | line 1210 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 058 | ar-en | line 1233 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 059 | ar-en | line 1310 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 060 | ar-en | line 1386 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 061 | en-ar | line 52 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 062 | en-ar | line 62 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 063 | en-ar | line 66 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 064 | en-ar | line 179 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 065 | en-ar | line 192 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 066 | en-ar | line 210 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 067 | en-ar | line 229 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 068 | en-ar | line 286 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 069 | en-ar | line 448 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 070 | en-ar | line 458 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 071 | en-ar | line 477 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 072 | en-ar | line 502 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 073 | en-ar | line 564 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 074 | en-ar | line 865 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 075 | en-ar | line 1035 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 076 | en-ar | line 1117 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 077 | en-ar | line 1210 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 078 | en-ar | line 1233 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 079 | en-ar | line 1310 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 080 | en-ar | line 1386 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 081 | ar-ur | line 52 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 082 | ar-ur | line 62 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 083 | ar-ur | line 66 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 084 | ar-ur | line 179 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 085 | ar-ur | line 192 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 086 | ar-ur | line 210 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 087 | ar-ur | line 229 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 088 | ar-ur | line 286 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 089 | ar-ur | line 448 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 090 | ar-ur | line 458 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 091 | ar-ur | line 477 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 092 | ar-ur | line 502 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 093 | ar-ur | line 564 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 094 | ar-ur | line 865 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 095 | ar-ur | line 1035 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 096 | ar-ur | line 1117 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 097 | ar-ur | line 1210 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 098 | ar-ur | line 1233 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 099 | ar-ur | line 1310 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 100 | ar-ur | line 1386 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 101 | ur-ar | line 52 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 102 | ur-ar | line 62 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 103 | ur-ar | line 66 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 104 | ur-ar | line 179 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 105 | ur-ar | line 192 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 106 | ur-ar | line 210 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 107 | ur-ar | line 229 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 108 | ur-ar | line 286 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 109 | ur-ar | line 448 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 110 | ur-ar | line 458 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 111 | ur-ar | line 477 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 112 | ur-ar | line 502 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 113 | ur-ar | line 564 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 114 | ur-ar | line 865 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 115 | ur-ar | line 1035 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 116 | ur-ar | line 1117 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 117 | ur-ar | line 1210 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 118 | ur-ar | line 1233 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 119 | ur-ar | line 1310 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 120 | ur-ar | line 1386 | A=GEMMAX2 | B=NLLB | C=MADLAD
