evaluation_item,direction,sample_number_in_direction,original_line,translation_a_model,translation_b_model,translation_c_model
74,en-ar,14,865,NLLB,MADLAD,GEMMAX2
75,en-ar,15,1035,GEMMAX2,MADLAD,NLLB
76,en-ar,16,1117,MADLAD,NLLB,GEMMAX2
77,en-ar,17,1210,GEMMAX2,MADLAD,NLLB
78,en-ar,18,1233,NLLB,MADLAD,GEMMAX2
79,en-ar,19,1310,GEMMAX2,NLLB,MADLAD
80,en-ar,20,1386,MADLAD,NLLB,GEMMAX2
81,ar-ur,1,52,GEMMAX2,NLLB,MADLAD
82,ar-ur,2,62,GEMMAX2,MADLAD,NLLB
83,ar-ur,3,66,MADLAD,GEMMAX2,NLLB
84,ar-ur,4,179,NLLB,GEMMAX2,MADLAD
85,ar-ur,5,192,MADLAD,GEMMAX2,NLLB
86,ar-ur,6,210,NLLB,MADLAD,GEMMAX2
87,ar-ur,7,229,NLLB,GEMMAX2,MADLAD
88,ar-ur,8,286,NLLB,GEMMAX2,MADLAD
89,ar-ur,9,448,GEMMAX2,MADLAD,NLLB
90,ar-ur,10,458,GEMMAX2,NLLB,MADLAD
91,ar-ur,11,477,MADLAD,GEMMAX2,NLLB
92,ar-ur,12,502,NLLB,GEMMAX2,MADLAD
93,ar-ur,13,564,GEMMAX2,NLLB,MADLAD
94,ar-ur,14,865,MADLAD,NLLB,GEMMAX2
95,ar-ur,15,1035,NLLB,MADLAD,GEMMAX2
96,ar-ur,16,1117,MADLAD,GEMMAX2,NLLB
97,ar-ur,17,1210,MADLAD,NLLB,GEMMAX2
98,ar-ur,18,1233,MADLAD,GEMMAX2,NLLB
99,ar-ur,19,1310,GEMMAX2,NLLB,MADLAD
100,ar-ur,20,1386,GEMMAX2,NLLB,MADLAD
101,ur-ar,1,52,MADLAD,GEMMAX2,NLLB
102,ur-ar,2,62,MADLAD,NLLB,GEMMAX2
103,ur-ar,3,66,MADLAD,GEMMAX2,NLLB
104,ur-ar,4,179,NLLB,GEMMAX2,MADLAD
105,ur-ar,5,192,NLLB,GEMMAX2,MADLAD
106,ur-ar,6,210,GEMMAX2,MADLAD,NLLB
107,ur-ar,7,229,GEMMAX2,NLLB,MADLAD
108,ur-ar,8,286,GEMMAX2,NLLB,MADLAD
109,ur-ar,9,448,NLLB,GEMMAX2,MADLAD
110,ur-ar,10,458,NLLB,GEMMAX2,MADLAD
111,ur-ar,11,477,NLLB,GEMMAX2,MADLAD
112,ur-ar,12,502,GEMMAX2,MADLAD,NLLB
113,ur-ar,13,564,NLLB,MADLAD,GEMMAX2
114,ur-ar,14,865,GEMMAX2,NLLB,MADLAD
115,ur-ar,15,1035,NLLB,MADLAD,GEMMAX2
116,ur-ar,16,1117,MADLAD,GEMMAX2,NLLB
117,ur-ar,17,1210,MADLAD,GEMMAX2,NLLB
118,ur-ar,18,1233,GEMMAX2,MADLAD,NLLB
119,ur-ar,19,1310,NLLB,MADLAD,GEMMAX2
120,ur-ar,20,1386,GEMMAX2,NLLB,MADLAD
