direction,split,language,token,frequency
ar-en/ar,dev,ar,يلف,2
ar-en/ar,dev,ar,ماكدونالد,2
ar-en/ar,dev,ar,23%,2
ar-en/ar,dev,ar,الفنلندي،,2
ar-en/ar,dev,ar,بالسكك,2
ar-en/ar,dev,ar,"و""أزهى",2
ar-en/ar,dev,ar,تعثره,2
ar-en/ar,dev,ar,نقاط.,2
ar-en/ar,dev,ar,توبمولر,2
ar-en/ar,dev,ar,وسهلة,2
ar-en/ar,dev,ar,8.1%,2
ar-en/ar,dev,ar,وبعائد,2
ar-en/ar,dev,ar,ميد,2
ar-en/ar,dev,ar,طرفين,2
ar-en/ar,dev,ar,السرايا,2
ar-en/ar,dev,ar,المرجة,2
ar-en/ar,dev,ar,تلقائي,2
ar-en/ar,dev,ar,"لـ""العربية/الحدث""",2
ar-en/ar,dev,ar,الحارة.,2
ar-en/ar,dev,ar,القاسية.,2
ar-en/ar,dev,ar,68،,2
ar-en/ar,devtest,ar,التمهيدي,9
ar-en/ar,devtest,ar,للأنشطة,8
ar-en/ar,devtest,ar,التوسعي,7
ar-en/ar,devtest,ar,أمهل,7
ar-en/ar,devtest,ar,النفطية.,5
ar-en/ar,devtest,ar,1.147,5
ar-en/ar,devtest,ar,بيدري,5
ar-en/ar,devtest,ar,الجحيم,5
ar-en/ar,devtest,ar,ومصيراً,5
ar-en/ar,devtest,ar,كوكي,5
ar-en/ar,devtest,ar,المتوسط؛,4
ar-en/ar,devtest,ar,والمدى,4
ar-en/ar,devtest,ar,1.313,4
ar-en/ar,devtest,ar,"إنرجيز""",4
ar-en/ar,devtest,ar,أطرها,4
ar-en/ar,devtest,ar,قاتماً.,4
ar-en/ar,devtest,ar,للرد،,4
ar-en/ar,devtest,ar,تفعل،,4
ar-en/ar,devtest,ar,فستقوم,4
ar-en/ar,devtest,ar,"يلزم""،",4
ar-en/ar,devtest,ar,1147,4
ar-en/ar,devtest,ar,كونتي,4
ar-en/ar,devtest,ar,المُعترفة,4
ar-en/ar,devtest,ar,بالضربة,4
ar-en/ar,devtest,ar,ينيبه,4
ar-en/ar,devtest,ar,4.6%,3
ar-en/ar,devtest,ar,ترحيبها,3
ar-en/ar,devtest,ar,مينديز,3
ar-en/ar,devtest,ar,1.294,3
ar-en/ar,devtest,ar,والموجّه,3
ar-en/ar,devtest,ar,وبعجز,3
ar-en/ar,devtest,ar,"""لدى",3
ar-en/ar,devtest,ar,"""جرين",3
ar-en/ar,devtest,ar,"بيس""",3
ar-en/ar,devtest,ar,المسال،,3
ar-en/ar,devtest,ar,الزوراء,3
ar-en/ar,devtest,ar,1313,3
ar-en/ar,devtest,ar,ماناكر,3
ar-en/ar,devtest,ar,مبابي،,3
ar-en/ar,devtest,ar,(إسرائيل,3
ar-en/ar,devtest,ar,وحماس).,3
ar-en/ar,devtest,ar,للحل،,3
ar-en/ar,devtest,ar,دانون،,3
ar-en/ar,devtest,ar,ستنهي,3
ar-en/ar,devtest,ar,وتستعيد,3
ar-en/ar,devtest,ar,ستصعّد,3
ar-en/ar,devtest,ar,بالخطة،,2
ar-en/ar,devtest,ar,توقعتوزارة,2
ar-en/ar,devtest,ar,السعوديةأن,2
ar-en/ar,devtest,ar,مطبق،,2
ar-en/ar,devtest,ar,وتكراراً.,2
ar-en/ar,devtest,ar,المدمر،,2
ar-en/ar,devtest,ar,الماضيتين،,2
ar-en/ar,devtest,ar,بزميله,2
ar-en/ar,devtest,ar,وتشديد,2
ar-en/ar,devtest,ar,ولكون,2
ar-en/ar,devtest,ar,استباقي؛,2
ar-en/ar,devtest,ar,1.419,2
ar-en/ar,devtest,ar,للتطورات,2
ar-en/ar,devtest,ar,والصكوك,2
ar-en/ar,devtest,ar,(فرنسا،,2
ar-en/ar,devtest,ar,1.25,2
ar-en/ar,devtest,ar,"""الوقت",2
ar-en/ar,devtest,ar,"للرد""،",2
ar-en/ar,devtest,ar,والموجَّه,2
ar-en/ar,devtest,ar,"والفصائل"".",2
ar-en/ar,devtest,ar,إسرائيل)،,2
ar-en/ar,devtest,ar,ومدعومة,2
ar-en/ar,devtest,ar,معتبرة،,2
ar-en/ar,devtest,ar,للصدمات,2
ar-en/ar,devtest,ar,الطارئة.,2
ar-en/ar,devtest,ar,الجدعان,2
ar-en/ar,devtest,ar,فاعلًا,2
ar-en/ar,devtest,ar,والطويل؛,2
ar-en/ar,devtest,ar,ومحددات,2
ar-en/ar,devtest,ar,بيري،,2
ar-en/ar,devtest,ar,ومواطنيها,2
ar-en/ar,devtest,ar,4.4%،,2
ar-en/ar,devtest,ar,التحولي،,2
ar-en/ar,devtest,ar,بوتر،,2
ar-en/ar,devtest,ar,عصاه,2
ar-en/ar,devtest,ar,للغاز،,2
ar-en/ar,devtest,ar,"""تنتظر",2
ar-en/ar,devtest,ar,السلام..,2
ar-en/ar,devtest,ar,وسلوكاً,2
ar-en/ar,devtest,ar,"الحركة""،",2
ar-en/ar,devtest,ar,1294,2
ar-en/ar,devtest,ar,1419,2
ar-en/ar,devtest,ar,والحرص,2
ar-en/ar,devtest,ar,فيراتي,2
ar-en/ar,devtest,ar,لمحاولات,2
ar-en/ar,devtest,ar,بديلا,2
ar-en/ar,devtest,ar,الصاع,2
ar-en/ar,devtest,ar,مونتجويك،,2
ar-en/ar,devtest,ar,لاقتصاديات,2
ar-en/ar,devtest,ar,الشمري,2
ar-en/ar,devtest,ar,بُعد.,2
ar-en/ar,devtest,ar,بارتوميو،,2
ar-en/ar,devtest,ar,طبيعيًا,2
ar-en/ar,devtest,ar,وجهودها,2
ar-en/ar,devtest,ar,التدشين,2
ar-en/ar,devtest,ar,والمائية،,2
ar-en/ar,devtest,ar,والمعالجة,2
ar-en/ar,devtest,ar,النزال,2
ar-en/ar,devtest,ar,القاضية),2
ar-en/ar,devtest,ar,القاضية).,2
ar-en/ar,devtest,ar,الكيرسيتين،,2
ar-en/ar,devtest,ar,التأكسدي,2
ar-en/ar,devtest,ar,والسلوكيات,2
ar-en/ar,devtest,ar,"""منفتحة",2
ar-en/ar,devtest,ar,ثوابتها,2
ar-en/ar,devtest,ar,مثيثوا,2
ar-en/ar,devtest,ar,تيبو,2
ar-en/ar,devtest,ar,ترامببشأن,2
ar-en/ar,devtest,ar,الجعيد،,2
ar-en/ar,devtest,ar,دكتورة,2
ar-en/ar,devtest,ar,والبناء.,2
ar-en/ar,devtest,ar,للتباحث,2
ar-en/ar,devtest,ar,ترامب،حركة,2
ar-en/ar,devtest,ar,حماس4,2
ar-en/ar,devtest,ar,قاتماً،,2
ar-en/ar,devtest,ar,ونصت,2
ar-en/ar,devtest,ar,مرايا,2
ar-en/ar,devtest,ar,مُتفق,2
ar-en/ar,devtest,ar,"لـ""وزارة",2
ar-en/ar,devtest,ar,"بـ""التافه",2
ar-en/ar,devtest,ar,"الشكوى""",2
ar-en/ar,devtest,ar,غدٍ,1
ar-en/ar,devtest,ar,جسوراً,1
ar-en/ar,devtest,ar,والرخاء.,1
ar-en/ar,devtest,ar,مارسيليا,1
ar-en/ar,devtest,ar,والمؤسس,1
ar-en/ar,devtest,ar,انفتاحًا,1
ar-en/ar,devtest,ar,وابتكارًا.,1
ar-en/ar,devtest,ar,تطبيقاتهم,1
ar-en/ar,devtest,ar,وتنزيل,1
ar-en/ar,devtest,ar,ابتكرها,1
ar-en/ar,devtest,ar,جدولةشحنات,1
ar-en/ar,devtest,ar,الغازالمسال,1
ar-en/ar,devtest,ar,التغويز،,1
ar-en/ar,devtest,ar,وتكدس,1
ar-en/ar,devtest,ar,لمصرخلال,1
ar-en/ar,devtest,ar,32.9,1
ar-en/ar,devtest,ar,27.9,1
ar-en/ar,devtest,ar,هجوميين،,1
ar-en/ar,devtest,ar,ويحافظ,1
ar-en/ar,devtest,ar,متقدم،,1
ar-en/ar,devtest,ar,أحبه,1
ar-en/ar,devtest,ar,وأحب,1
ar-en/ar,devtest,ar,مشاهدته،,1
ar-en/ar,devtest,ar,وسأظل,1
ar-en/ar,devtest,ar,بمنشور,1
ar-en/ar,devtest,ar,"""الشراكة",1
ar-en/ar,devtest,ar,تساعده,1
ar-en/ar,devtest,ar,بفعالية,1
ar-en/ar,devtest,ar,"أمانًا"".",1
ar-en/ar,devtest,ar,نتيجة.,1
ar-en/ar,devtest,ar,جرمان،,1
ar-en/ar,devtest,ar,وبقدرته,1
ar-en/ar,devtest,ar,واستشهدت,1
ar-en/ar,devtest,ar,والنفقات,1
ar-en/ar,devtest,ar,يُخفِ,1
ar-en/ar,devtest,ar,الائتلاف،,1
ar-en/ar,devtest,ar,وإيتمار,1
ar-en/ar,devtest,ar,بارتوميو,1
ar-en/ar,devtest,ar,موكّلهم,1
ar-en/ar,devtest,ar,"""أخطاء""،",1
ar-en/ar,devtest,ar,نددوا,1
ar-en/ar,devtest,ar,بالدعاوى,1
ar-en/ar,devtest,ar,تستهدفه,1
ar-en/ar,devtest,ar,دولته،,1
ar-en/ar,devtest,ar,للشعبين,1
ar-en/ar,devtest,ar,والإسرائيلي.,1
ar-en/ar,devtest,ar,ترأسها,1
ar-en/ar,devtest,ar,تكدس,1
ar-en/ar,devtest,ar,السفن،,1
ar-en/ar,devtest,ar,أماكنها,1
ar-en/ar,devtest,ar,وبيد,1
ar-en/ar,devtest,ar,الأمرين،,1
ar-en/ar,devtest,ar,بتحذيرات,1
ar-en/ar,devtest,ar,تصرّف.,1
ar-en/ar,devtest,ar,"السلبية""،",1
ar-en/ar,devtest,ar,الطباعة,1
ar-en/ar,devtest,ar,والورق,1
ar-en/ar,devtest,ar,والمصنفات,1
ar-en/ar,devtest,ar,الجلود,1
ar-en/ar,devtest,ar,والأحذية,1
ar-en/ar,devtest,ar,الجلدية,1
ar-en/ar,devtest,ar,واستكملت,1
ar-en/ar,devtest,ar,وموناكو،,1
ar-en/ar,devtest,ar,والإنترنت,1
ar-en/ar,devtest,ar,"""الرذيلة"".",1
ar-en/ar,devtest,ar,2028م؛,1
ar-en/ar,devtest,ar,وبنّاءة,1
ar-en/ar,devtest,ar,رفضتها.,1
ar-en/ar,devtest,ar,المقبلةلوقف,1
ar-en/ar,devtest,ar,أيلول/سبتمبر,1
ar-en/ar,devtest,ar,والاعترافات,1
ar-en/ar,devtest,ar,تقديرها,1
ar-en/ar,devtest,ar,واحترامها,1
ar-en/en,dev,en,Genena,14
ar-en/en,dev,en,Sykes-Picot,9
ar-en/en,dev,en,reservation,6
ar-en/en,dev,en,submarines,5
ar-en/en,dev,en,"Wikipedia,",5
ar-en/en,dev,en,Hathaway,5
ar-en/en,dev,en,mill,5
ar-en/en,dev,en,Cypriot,4
ar-en/en,dev,en,Nike,4
ar-en/en,dev,en,infected,4
ar-en/en,dev,en,Goering,4
ar-en/en,dev,en,Minor,4
ar-en/en,dev,en,Sunrise,4
ar-en/en,dev,en,Hail,4
ar-en/en,dev,en,Al-Ghamdi,3
ar-en/en,dev,en,Stream,3
ar-en/en,dev,en,"""Surplus",3
ar-en/en,dev,en,"Sachs,",3
ar-en/en,dev,en,Azza,3
ar-en/en,dev,en,disconnected,3
ar-en/en,dev,en,fixed-income,3
ar-en/en,dev,en,"Paphos,",3
ar-en/en,dev,en,Tsevilyov,3
ar-en/en,dev,en,KKR,3
ar-en/en,dev,en,Mohajerani,3
ar-en/en,dev,en,Osimhen's,3
ar-en/en,dev,en,Galatasaray,3
ar-en/en,dev,en,Pension,3
ar-en/en,dev,en,blueberries,3
ar-en/en,dev,en,world-class,3
ar-en/en,dev,en,Hospitality,3
ar-en/en,dev,en,Marjeh,3
ar-en/en,dev,en,"""arrogance",3
ar-en/en,dev,en,tranche,3
ar-en/en,dev,en,Exynos,3
ar-en/en,dev,en,cyberspace,3
ar-en/en,dev,en,"enhancement""",2
ar-en/en,dev,en,Qualcomm,2
ar-en/en,dev,en,Tsevilev,2
ar-en/en,dev,en,halftime.,2
ar-en/en,dev,en,"XAI,",2
ar-en/en,dev,en,GroWikipedia.,2
ar-en/en,dev,en,Stabilization,2
ar-en/en,dev,en,"Power""",2
ar-en/en,dev,en,deflected,2
ar-en/en,dev,en,Didi,2
ar-en/en,dev,en,leaders',2
ar-en/en,dev,en,retinoids,2
ar-en/en,dev,en,"Suwaidi,",2
ar-en/en,dev,en,"""long",2
ar-en/en,dev,en,BHP,2
ar-en/en,dev,en,Slavia,2
ar-en/en,dev,en,Logistics,2
ar-en/en,dev,en,(Israel,2
ar-en/en,dev,en,Hamas),2
ar-en/en,dev,en,Netshir,2
ar-en/en,dev,en,Zamir,2
ar-en/en,dev,en,"wages,",2
ar-en/en,dev,en,XIA's,2
ar-en/en,dev,en,"""seeking",2
ar-en/en,dev,en,Al-Afaleq,2
ar-en/en,dev,en,"""Retinal""",2
ar-en/en,dev,en,"Kane,",2
ar-en/en,dev,en,Nicholas,2
ar-en/en,dev,en,Fujairah,2
ar-en/en,dev,en,IFR,2
ar-en/en,dev,en,"1916,",2
ar-en/en,dev,en,reductionist,2
ar-en/en,dev,en,"""Does",2
ar-en/en,dev,en,"""Blair",2
ar-en/en,dev,en,"managed,",2
ar-en/en,dev,en,retailers,2
ar-en/en,dev,en,Georgi,2
ar-en/en,dev,en,Mamardashvili,2
ar-en/en,dev,en,Bremer,2
ar-en/en,dev,en,Rail,2
ar-en/en,dev,en,Kompany,2
ar-en/en,dev,en,"well-being,",2
ar-en/en,dev,en,Behaviors:,2
ar-en/en,dev,en,"""Remat",2
ar-en/en,dev,en,Eagles,2
ar-en/en,dev,en,"MidOcean,",2
ar-en/en,dev,en,AIG,2
ar-en/en,dev,en,Shell.,2
ar-en/en,dev,en,Alisson's,2
ar-en/en,dev,en,Al-Saed,2
ar-en/en,dev,en,calculation,2
ar-en/en,dev,en,BMW,2
ar-en/en,dev,en,Asahi,2
ar-en/en,dev,en,allergic,2
ar-en/en,dev,en,20-point,2
ar-en/en,dev,en,"Colorado,",2
ar-en/en,dev,en,"cyberspace,",2
ar-en/en,dev,en,Adeer,2
ar-en/en,dev,en,NCB,2
ar-en/en,dev,en,Hakkanen,2
ar-en/en,dev,en,"""Silicon",2
ar-en/en,dev,en,"95,",2
ar-en/en,dev,en,"Zayed,",2
ar-en/en,dev,en,E.,2
ar-en/en,dev,en,Tilly,2
ar-en/en,dev,en,"Kpler,",2
ar-en/en,dev,en,"mix,",2
ar-en/en,dev,en,3.5-year,2
ar-en/en,dev,en,Halal,2
ar-en/en,dev,en,"""Azhah",2
ar-en/en,dev,en,"""Should",2
ar-en/en,dev,en,Topmüller,2
ar-en/en,dev,en,payloads.,2
ar-en/en,dev,en,7.2%.,2
ar-en/en,dev,en,Saraya,2
ar-en/en,dev,en,optic,2
ar-en/en,dev,en,replaced.,2
ar-en/en,dev,en,"approvals,",2
ar-en/en,dev,en,50-50,2
ar-en/en,dev,en,2600,2
ar-en/en,dev,en,"position.""",2
ar-en/en,dev,en,Really,2
ar-en/en,dev,en,rumors.,2
ar-en/en,dev,en,Blair.,2
ar-en/en,dev,en,68th,2
ar-en/en,dev,en,"KKR,",2
ar-en/en,dev,en,ADNOC's,2
ar-en/en,dev,en,Al-Shaqilab,2
ar-en/en,dev,en,boats.,2
ar-en/en,dev,en,match-up,2
ar-en/en,dev,en,Toyota,2
ar-en/en,dev,en,"""Enhancing",2
ar-en/en,dev,en,Oktoberfest,2
ar-en/en,dev,en,Sukuk,2
ar-en/en,dev,en,Conference's,2
ar-en/en,dev,en,processor.,2
ar-en/en,dev,en,hypercortisolism,2
ar-en/en,dev,en,Para-athletics,1
ar-en/en,dev,en,[her,1
ar-en/en,dev,en,name],1
ar-en/en,dev,en,19.89,1
ar-en/en,dev,en,seconds.,1
ar-en/en,dev,en,"medium-sized,",1
ar-en/en,dev,en,micro-enterprises,1
ar-en/en,dev,en,nets.,1
ar-en/en,dev,en,"""strengthened",1
ar-en/en,dev,en,"vigilance""",1
ar-en/en,dev,en,"barrier,",1
ar-en/en,dev,en,Waterloo,1
ar-en/en,dev,en,juvenile,1
ar-en/en,dev,en,"arthritis,",1
ar-en/en,dev,en,epilepsy.,1
ar-en/en,dev,en,"2.6%,",1
ar-en/en,dev,en,Stream.,1
ar-en/en,dev,en,"Maghreb,",1
ar-en/en,dev,en,Anatolian,1
ar-en/en,dev,en,1919,1
ar-en/en,dev,en,1923.,1
ar-en/en,dev,en,"Turks,",1
ar-en/en,dev,en,BMW's,1
ar-en/en,dev,en,"""chip",1
ar-en/en,dev,en,"insertion""",1
ar-en/en,dev,en,Garnacho,1
ar-en/en,dev,en,(11),1
ar-en/en,dev,en,(17),1
ar-en/en,dev,en,Garnacho's,1
ar-en/en,dev,en,(18).,1
ar-en/en,dev,en,"Municipality,",1
ar-en/en,dev,en,inputting,1
ar-en/en,dev,en,"occurring.""",1
ar-en/en,dev,en,17.23,1
ar-en/en,dev,en,centimeters.,1
ar-en/en,dev,en,"35%,",1
ar-en/en,dev,en,12%.,1
ar-en/en,dev,en,tourism-specific,1
ar-en/en,dev,en,sorrows.,1
ar-en/en,dev,en,Youri,1
ar-en/en,dev,en,Cesar,1
ar-en/en,dev,en,Guilherme,1
ar-en/en,dev,en,Bala's,1
ar-en/en,dev,en,crossbar.,1
ar-en/en,dev,en,"Diaby,",1
ar-en/en,dev,en,counter-attack,1
ar-en/en,dev,en,"Esmat,",1
ar-en/en,dev,en,"demilitarized,",1
ar-en/en,dev,en,Waymo,1
ar-en/en,dev,en,Elena.,1
ar-en/en,dev,en,initiated.,1
ar-en/en,dev,en,"(ISF),",1
ar-en/en,dev,en,"guarantors,",1
ar-en/en,dev,en,emptying,1
ar-en/en,dev,en,Norway’s,1
ar-en/en,dev,en,ADP,1
ar-en/en,dev,en,"""Karbalai",1
ar-en/en,dev,en,"Confrontation,""",1
ar-en/en,dev,en,"""Samson",1
ar-en/en,dev,en,"Choice"":",1
ar-en/en,dev,en,"""On",1
ar-en/en,dev,en,"Lord.""",1
ar-en/en,dev,en,Co.,1
ar-en/en,dev,en,ligament.,1
ar-en/en,dev,en,"cables,",1
ar-en/en,dev,en,Ravi,1
ar-en/en,dev,en,"Jhaveri,",1
ar-en/en,devtest,en,1.147,5
ar-en/en,devtest,en,Non-oil,5
ar-en/en,devtest,en,Navigation,5
ar-en/en,devtest,en,Al-Ula,4
ar-en/en,devtest,en,1.313,4
ar-en/en,devtest,en,counter-cyclical,4
ar-en/en,devtest,en,"1,147",4
ar-en/en,devtest,en,Conte,4
ar-en/en,devtest,en,Koke,4
ar-en/en,devtest,en,1.294,3
ar-en/en,devtest,en,oil-related,3
ar-en/en,devtest,en,Al-Zawraa,3
ar-en/en,devtest,en,"1,313",3
ar-en/en,devtest,en,Manaker,3
ar-en/en,devtest,en,Saint-Georges,3
ar-en/en,devtest,en,"(LNG),",3
ar-en/en,devtest,en,(Israel,3
ar-en/en,devtest,en,"respond,",3
ar-en/en,devtest,en,"Koke,",3
ar-en/en,devtest,en,"Mthethwa,",3
ar-en/en,devtest,en,Danny,3
ar-en/en,devtest,en,AlUla,3
ar-en/en,devtest,en,3.9%,2
ar-en/en,devtest,en,cargos,2
ar-en/en,devtest,en,displacements.,2
ar-en/en,devtest,en,"(PSG),",2
ar-en/en,devtest,en,AD,2
ar-en/en,devtest,en,1.419,2
ar-en/en,devtest,en,"sukuk,",2
ar-en/en,devtest,en,"""Total",2
ar-en/en,devtest,en,$1.25,2
ar-en/en,devtest,en,"Al-Ansari,",2
ar-en/en,devtest,en,"premature,""",2
ar-en/en,devtest,en,countercyclical,2
ar-en/en,devtest,en,"BlackBerry,",2
ar-en/en,devtest,en,4.4%.,2
ar-en/en,devtest,en,6.8%,2
ar-en/en,devtest,en,"jeans""",2
ar-en/en,devtest,en,"1,294",2
ar-en/en,devtest,en,"1,419",2
